date,theftType
4/16/2019,ROBBERY
4/16/2019,ROBBERY
4/16/2019,ROBBERY
4/16/2019,ROBBERY
4/16/2019,ROBBERY
4/16/2019,ROBBERY
4/16/2019,ROBBERY
4/16/2019,ROBBERY
4/17/2019,ROBBERY
4/17/2019,ROBBERY
4/17/2019,ROBBERY
4/17/2019,ROBBERY
4/17/2019,ROBBERY
4/17/2019,ROBBERY
4/17/2019,ROBBERY
4/17/2019,ROBBERY
4/17/2019,ROBBERY
4/17/2019,ROBBERY
4/17/2019,ROBBERY
4/17/2019,ROBBERY
4/17/2019,ROBBERY
4/17/2019,ROBBERY
4/17/2019,ROBBERY
4/17/2019,ROBBERY
4/17/2019,ROBBERY
4/17/2019,ROBBERY
4/17/2019,ROBBERY
4/17/2019,ROBBERY
4/17/2019,ROBBERY
4/17/2019,ROBBERY
4/17/2019,ROBBERY
4/18/2019,ROBBERY
4/18/2019,ROBBERY
4/18/2019,ROBBERY
4/18/2019,ROBBERY
4/18/2019,ROBBERY
4/18/2019,ROBBERY
4/18/2019,ROBBERY
4/18/2019,ROBBERY
4/18/2019,ROBBERY
4/18/2019,ROBBERY
4/18/2019,ROBBERY
4/18/2019,ROBBERY
4/18/2019,ROBBERY
4/18/2019,ROBBERY
4/18/2019,ROBBERY
4/18/2019,ROBBERY
4/18/2019,ROBBERY
4/18/2019,ROBBERY
4/19/2019,ROBBERY
4/19/2019,ROBBERY
4/19/2019,ROBBERY
4/19/2019,ROBBERY
4/19/2019,ROBBERY
4/19/2019,ROBBERY
4/19/2019,ROBBERY
4/19/2019,ROBBERY
4/19/2019,ROBBERY
4/19/2019,ROBBERY
4/19/2019,ROBBERY
4/19/2019,ROBBERY
4/19/2019,ROBBERY
4/19/2019,ROBBERY
4/20/2019,ROBBERY
4/20/2019,ROBBERY
4/20/2019,ROBBERY
4/20/2019,ROBBERY
4/20/2019,ROBBERY
4/20/2019,ROBBERY
4/20/2019,ROBBERY
4/20/2019,ROBBERY
4/20/2019,ROBBERY
4/20/2019,ROBBERY
4/20/2019,ROBBERY
4/20/2019,ROBBERY
4/20/2019,ROBBERY
4/20/2019,ROBBERY
4/20/2019,ROBBERY
4/20/2019,ROBBERY
4/20/2019,ROBBERY
4/20/2019,ROBBERY
4/20/2019,ROBBERY
4/20/2019,ROBBERY
4/20/2019,ROBBERY
4/20/2019,ROBBERY
4/20/2019,ROBBERY
4/20/2019,ROBBERY
4/20/2019,ROBBERY
4/20/2019,ROBBERY
4/20/2019,ROBBERY
4/20/2019,ROBBERY
4/20/2019,ROBBERY
4/20/2019,ROBBERY
4/21/2019,ROBBERY
4/21/2019,ROBBERY
4/21/2019,ROBBERY
4/21/2019,ROBBERY
4/21/2019,ROBBERY
4/21/2019,ROBBERY
4/21/2019,ROBBERY
4/21/2019,ROBBERY
4/21/2019,ROBBERY
4/22/2019,ROBBERY
4/22/2019,ROBBERY
4/22/2019,ROBBERY
4/22/2019,ROBBERY
4/22/2019,ROBBERY
4/22/2019,ROBBERY
4/22/2019,ROBBERY
4/22/2019,ROBBERY
4/22/2019,ROBBERY
4/22/2019,ROBBERY
4/22/2019,ROBBERY
4/22/2019,ROBBERY
4/22/2019,ROBBERY
4/22/2019,ROBBERY
4/22/2019,ROBBERY
4/22/2019,ROBBERY
4/22/2019,ROBBERY
4/22/2019,ROBBERY
4/22/2019,ROBBERY
4/22/2019,ROBBERY
4/22/2019,ROBBERY
4/22/2019,ROBBERY
4/23/2019,ROBBERY
4/23/2019,ROBBERY
4/23/2019,ROBBERY
4/23/2019,ROBBERY
4/23/2019,ROBBERY
4/23/2019,ROBBERY
4/23/2019,ROBBERY
4/23/2019,ROBBERY
4/23/2019,ROBBERY
4/23/2019,ROBBERY
4/23/2019,ROBBERY
4/23/2019,ROBBERY
4/23/2019,ROBBERY
4/23/2019,ROBBERY
4/23/2019,ROBBERY
4/23/2019,ROBBERY
4/23/2019,ROBBERY
4/23/2019,ROBBERY
4/23/2019,ROBBERY
4/23/2019,ROBBERY
4/23/2019,ROBBERY
4/23/2019,ROBBERY
4/24/2019,ROBBERY
4/24/2019,ROBBERY
4/24/2019,ROBBERY
4/24/2019,ROBBERY
4/24/2019,ROBBERY
4/24/2019,ROBBERY
4/24/2019,ROBBERY
4/24/2019,ROBBERY
4/24/2019,ROBBERY
4/24/2019,ROBBERY
4/24/2019,ROBBERY
4/24/2019,ROBBERY
4/24/2019,ROBBERY
4/24/2019,ROBBERY
4/25/2019,ROBBERY
4/25/2019,ROBBERY
4/25/2019,ROBBERY
4/25/2019,ROBBERY
4/25/2019,ROBBERY
4/25/2019,ROBBERY
4/25/2019,ROBBERY
4/25/2019,ROBBERY
4/25/2019,ROBBERY
4/25/2019,ROBBERY
4/25/2019,ROBBERY
4/25/2019,ROBBERY
4/25/2019,ROBBERY
4/25/2019,ROBBERY
4/25/2019,ROBBERY
